Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
22;01;01;08;;;OTROS INGRESOS CORRIENTES;44044;0
22;01;01;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;39739;0
22;01;01;08;02;;Multas y Sanciones Pecuniarias;648;0
22;01;01;08;99;;Otros;3657;0
22;01;01;09;;;APORTE FISCAL;7417313;0
22;01;01;09;01;;Libre;7417313;0
22;01;01;15;;;SALDO INICIAL DE CAJA;1000;0
22;01;01;21;;;GASTOS EN PERSONAL;5318946;0
22;01;01;22;;;BIENES Y SERVICIOS DE CONSUMO;1152315;0
22;01;01;24;;;TRANSFERENCIAS CORRIENTES;889402;0
22;01;01;24;02;;Al Gobierno Central;167844;0
22;01;01;24;02;001;Presidencia de la República;167844;0
22;01;01;24;03;;A Otras Entidades Públicas;721558;0
22;01;01;24;03;409;Programa Comisionado Indígena;721558;0
22;01;01;29;;;ADQUISICION DE ACTIVOS NO FINANCIEROS;100694;0
22;01;01;29;04;;Mobiliario y Otros;3546;0
22;01;01;29;06;;Equipos Informáticos;40781;0
22;01;01;29;07;;Programas Informáticos;56367;0
22;01;01;34;;;SERVICIO DE LA DEUDA;1000;0
22;01;01;34;07;;Deuda Flotante;1000;0
